time_s,X_B_m,Y_B_m,Vx_B_mps,Vy_B_mps
18.28,0,0,0,0
18.29,0,0,0,0
18.3,0,0,0,0
18.31,0,0,0,0
18.32,0,0,0,0
18.33,0,0,0,0
18.34,0,0,0,0
18.35,0,0,0,0
18.36,0,0,0,0
18.37,0,0,0,0
18.38,0,0,0,0
18.39,0,0,0,0
18.4,0,0,0,0
18.41,0,0,0,0
18.42,0,0,0,0
18.43,0,0,0,0
18.44,0,0,0,0
18.45,0,0,0,0
18.46,0,0,0,0
18.47,0,0,0,0
18.48,0,0,0,0
18.49,0,0,0,0
18.5,0,0,0,0
18.51,0,0,0,0
18.52,0,0,0,0
18.53,0,0,0,0
18.54,0,0,0,0
18.55,0,0,0,0
18.56,0,0,0,0
18.57,0,0,0,0
18.58,0,0,0,0
18.59,0,0,0,0
18.6,0,0,0,0
18.61,0,0,0,0
18.62,0,0,0,0
18.63,0,0,0,0
18.64,0,0,0,0
18.65,0,0,0,0
18.66,0,0,0,0
18.67,0,0,0,0
18.68,0,0,0,0
18.69,0,0,0,0
18.7,0,0,0,0
18.71,0,0,0,0
18.72,0,0,0,0
18.73,0,0,0,0
18.74,0,0,0,0
18.75,0,0,0,0
18.76,0,0,0,0
18.77,0,0,0,0
18.78,0,0,0,0
18.79,0,0,0,0
18.8,0,0,0,0
18.81,0,0,0,0
18.82,0,0,0,0
18.83,0,0,0,0
18.84,0,0,0,0
18.85,0,0,0,0
18.86,0,0,0,0
18.87,0,0,0,0
18.88,0,0,0,0
18.89,0,0,0,0
18.9,0,0,0,0
18.91,0,0,0,0
18.92,0,0,0,0
18.93,0,0,0,0
18.94,0,0,0,0
18.95,0,0,0,0
18.96,0,0,0,0
18.97,0,0,0,0
18.98,0,0,0,0
18.99,0,0,0,0
19,0,0,0,0
19.01,0,0,0,0
19.02,0,0,0,0
19.03,0,0,0,0
19.04,0,0,0,0
19.05,0,0,0,0
19.06,0,0,0,0
19.07,0,0,0,0
19.08,0,0,0,0
19.09,0,0,0,0
19.1,0,0,0,0
19.11,0,0,0,0
19.12,0,0,0,0
19.13,0,0,0,0
19.14,0,0,0,0
19.15,0,0,0,0
19.16,0,0,0,0
19.17,0,0,0,0
19.18,0,0,0,0
19.19,0,0,0,0
19.2,0,0,0,0
19.21,0,0,0,0
19.22,0,0,0,0
19.23,0,0,0,0
19.24,0,0,0,0
19.25,0,0,0,0
19.26,0,0,0,0
19.27,0,0,0,0
19.28,0,0,0,0
19.29,0,0,0,0
19.3,0,0,0,0
19.31,0,0,0,0
19.32,0,0,0,0
19.33,0,0,0,0
19.34,0,0,0,0
19.35,0,0,0,0
19.36,0,0,0,0
19.37,0,0,0,0
19.38,0,0,0,0
19.39,0,0,0,0
19.4,0,0,0,0
19.41,0,0,0,0
19.42,0,0,0,0
19.43,0,0,0,0
19.44,0,0,0,0
19.45,0,0,0,0
19.46,0,0,0,0
19.47,0,0,0,0
19.48,0,0,0,0
19.49,0,0,0,0
19.5,0,0,0,0
19.51,0,0,0,0
19.52,0,0,0,0
19.53,0,0,0,0
19.54,0,0,0,0
19.55,0,0,0,0
19.56,0,0,0,0
19.57,0,0,0,0
19.58,0,0,0,0
19.59,0,0,0,0
19.6,0,0,0,0
19.61,0,0,0,0
19.62,0,0,0,0
19.63,0,0,0,0
19.64,0,0,0,0
19.65,0,0,0,0
19.66,0,0,0,0
19.67,0,0,0,0
19.68,0,0,0,0
19.69,0,0,0,0
19.7,0,0,0,0
19.71,0,0,0,0
19.72,0,0,0,0
19.73,0,0,0,0
19.74,0,0,0,0
19.75,0,0,0,0
19.76,0,0,0,0
19.77,0,0,0,0
19.78,0,0,0,0
19.79,0,0,0,0
19.8,0,0,0,0
19.81,0,0,0,0
19.82,0,0,0,0
19.83,0,0,0,0
19.84,0,0,0,0
19.85,0,0,0,0
19.86,0,0,0,0
19.87,0,0,0,0
19.88,0,0,0,0
19.89,0,0,0,0
19.9,0,0,0,0
19.91,0,0,0,0
19.92,0,0,0,0
19.93,0,0,0,0
19.94,0,0,0,0
19.95,0,0,0,0
19.96,0,0,0,0
19.97,0,0,0,0
19.98,0,0,0,0
19.99,0,0,0,0
20,0,0,0,0
20.01,0,0,0,0
20.02,0,0,0,0
20.03,0,0,0,0
20.04,0,0,0,0
20.05,0,0,0,0
20.06,0,0,0,0
20.07,0,0,0,0
20.08,0,0,0,0
20.09,0,0,0,0
20.1,0,0,0,0
20.11,0,0,0,0
20.12,0,0,0,0
20.13,0,0,0,0
20.14,0,0,0,0
20.15,0,0,0,0
20.16,0,0,0,0
20.17,0,0,0,0
20.18,0,0,0,0
20.19,0,0,0,0
20.2,0,0,0,0
20.21,0,0,0,0
20.22,0,0,0,0
20.23,0,0,0,0
20.24,0,0,0,0
20.25,0,0,0,0
20.26,0,0,0,0
20.27,0,0,0,0
20.28,0,0,0,0
20.29,0,0,0,0
20.3,0,0,0,0
20.31,0,0,0,0
20.32,0,0,0,0
20.33,0,0,0,0
20.34,0,0,0,0
20.35,0,0,0,0
20.36,0,0,0,0
20.37,0,0,0,0
20.38,0,0,0,0
20.39,0,0,0,0
20.4,0,0,0,0
20.41,0,0,0,0
20.42,0,0,0,0
20.43,0,0,0,0
20.44,0,0,0,0
20.45,0,0,0,0
20.46,0,0,0,0
20.47,0,0,0,0
20.48,0,0,0,0
20.49,0,0,0,0
20.5,0,0,0,0
20.51,0,0,0,0
20.52,0,0,0,0
20.53,0,0,0,0
20.54,0,0,0,0
20.55,0,0,0,0
20.56,0,0,0,0
20.57,0,0,0,0
20.58,0,0,0,0
20.59,0,0,0,0
20.6,0,0,0,0
20.61,0,0,0,0
20.62,0,0,0,0
20.63,0,0,0,0
20.64,0,0,0,0
20.65,0,0,0,0
20.66,0,0,0,0
20.67,0,0,0,0
20.68,0,0,0,0
20.69,0,0,0,0
20.7,0,0,0,0
20.71,0,0,0,0
20.72,0,0,0,0
20.73,0,0,0,0
20.74,0,0,0,0
20.75,0,0,0,0
20.76,0,0,0,0
20.77,0,0,0,0
20.78,0,0,0,0
20.79,0,0,0,0
20.8,0,0,0,0
20.81,0,0,0,0
20.82,0,0,0,0
20.83,0,0,0,0
20.84,0,0,0,0
20.85,0,0,0,0
20.86,0,0,0,0
20.87,0,0,0,0
20.88,0,0,0,0
20.89,0,0,0,0
20.9,0,0,0,0
20.91,0,0,0,0
20.92,0,0,0,0
20.93,0,0,0,0
20.94,0,0,0,0
20.95,0,0,0,0
20.96,0,0,0,0
20.97,0,0,0,0
20.98,0,0,0,0
20.99,0,0,0,0
21,0,0,0,0
21.01,0,0,0,0
21.02,0,0,0,0
21.03,0,0,0,0
21.04,0,0,0,0
21.05,0,0,0,0
21.06,0,0,0,0
21.07,0,0,0,0
21.08,0,0,0,0
21.09,0,0,0,0
21.1,0,0,0,0
21.11,0,0,0,0
21.12,0,0,0,0
21.13,0,0,0,0
21.14,0,0,0,0
21.15,0,0,0,0
21.16,0,0,0,0
21.17,0,0,0,0
21.18,0,0,0,0
21.19,0,0,0,0
21.2,0,0,0,0
21.21,0,0,0,0
21.22,0,0,0,0
21.23,0,0,0,0
21.24,0,0,0,0
21.25,0,0,0,0
21.26,0,0,0,0
21.27,0,0,0,0
21.28,0,0,0,0
21.29,0,0,0,0
21.3,0,0,0,0
21.31,0,0,0,0
21.32,0,0,0,0
21.33,0,0,0,0
21.34,0,0,0,0
21.35,0,0,0,0
21.36,0,0,0,0
21.37,0,0,0,0
21.38,0,0,0,0
21.39,0,0,0,0
21.4,0,0,0,0
21.41,0,0,0,0
21.42,0,0,0,0
21.43,0,0,0,0
21.44,0,0,0,0
21.45,0,0,0,0
21.46,0,0,0,0
21.47,0,0,0,0
21.48,0,0,0,0
21.49,0,0,0,0
21.5,0,0,0,0
21.51,0,0,0,0
21.52,0,0,0,0
21.53,0,0,0,0
21.54,0,0,0,0
21.55,0,0,0,0
21.56,0,0,0,0
21.57,0,0,0,0
21.58,0,0,0,0
21.59,0,0,0,0
21.6,0,0,0,0
21.61,0,0,0,0
21.62,0,0,0,0
21.63,0,0,0,0
21.64,0,0,0,0
21.65,0,0,0,0
21.66,0,0,0,0
21.67,0,0,0,0
21.68,0,0,0,0
21.69,0,0,0,0
21.7,0,0,0,0
21.71,0,0,0,0
21.72,0,0,0,0
21.73,0,0,0,0
21.74,0,0,0,0
21.75,0,0,0,0
21.76,0,0,0,0
21.77,0,0,0,0
21.78,0,0,0,0
21.79,0,0,0,0
21.8,0,0,0,0
21.81,0,0,0,0
21.82,0,0,0,0
21.83,0,0,0,0
21.84,0,0,0,0
21.85,0,0,0,0
21.86,0,0,0,0
21.87,0,0,0,0
21.88,0,0,0,0
21.89,0,0,0,0
21.9,0,0,0,0
21.91,0,0,0,0
21.92,0,0,0,0
21.93,0,0,0,0
21.94,0,0,0,0
21.95,0,0,0,0
21.96,0,0,0,0
21.97,0,0,0,0
21.98,0,0,0,0
21.99,0,0,0,0
22,0,0,0,0
22.01,0,0,0,0
22.02,0,0,0,0
22.03,0,0,0,0
22.04,0,0,0,0
22.05,0,0,0,0
